tenure1,tenure2,runs,mean_gap,min_gap,max_gap,std_gap,mean_value,mean_iterations,mean_candidates,mean_feasibility
16,8,100,3.18505341,0.237248,7.117438,1.682534806,869.85,13086.78,2968694009,35060199.09
16,9,100,3.38908658,0.355872,7.591934,1.841751758,871.57,13610.5,3096691666,34682293.96
16,10,100,3.81376037,0,8.540925,1.843689379,875.15,14211.11,3228216813,32852483.65
16,11,100,3.89205221,0.355872,8.066429,1.942740594,875.81,14517.9,3292151900,31402400
16,12,100,4.16014238,0.355872,8.422301,1.91589136,878.07,15360.88,3469605658,30135253.24
16,13,100,4.06524323,0.474496,8.066429,1.935054921,877.27,15525.78,3499209265,29814630.96
16,14,100,4.52787665,0.355872,8.778173,2.064017973,881.17,16375.39,3661603980,28362380.37
16,15,100,4.65599052,0.355872,8.540925,1.931122616,882.25,16941.87,3772328763,27427117.74
17,1,100,2.86239627,0,6.405694,1.792345043,867.13,7980.46,1680134580,53631293.71
17,2,100,2.62989323,0,7.710558,1.951526667,865.17,8907.75,1934115653,49411031.35
17,3,100,2.62989327,0,6.88019,1.72505452,865.17,10056.89,2218406426,45968364.3
17,4,100,2.44483986,0,6.524318,1.543621903,863.61,10724.11,2391149070,42794856.3
17,5,100,2.63819691,0.118624,8.540925,1.655860065,865.24,11514.69,2584485124,40886879.48
17,6,100,2.58837486,0,6.88019,1.652703336,864.82,11806.46,2660511593,39520155.35
17,7,100,2.93119812,0.237248,6.761566,1.604076854,867.71,12742.91,2878990989,36633008.43
17,8,100,3.06524321,0.118624,7.591934,1.648426902,868.84,13463.53,3044224379,35267480.23
17,9,100,3.11269278,0,8.303677,1.891616129,869.24,13712.66,3109554537,34103262.7
17,10,100,3.65124554,0.237248,7.947805,1.782717736,873.78,14187.42,3210446836,33166578.96
17,11,100,3.82443659,0.474496,8.422301,1.747978503,875.24,14835.34,3352453249,31010217.9
17,12,100,3.83274024,0.237248,8.540925,1.922293537,875.31,15202.04,3428597530,31007242.97
17,13,100,4.14827998,0.474496,9.489917,2.044047116,877.97,15848.32,3558115220,29217639.35
17,14,100,4.20996443,0.237248,7.947805,1.782232492,878.49,16456.9,3682759676,28633854.46
17,15,100,4.22182686,0.237248,9.845789,2.115844952,878.59,16817.34,3744399103,27548863.53
18,1,100,2.9062871,0,7.47331,1.895397978,867.5,7899.39,1658783146,52695010.45
18,2,100,2.49228943,0,7.710558,1.868586104,864.01,9017.68,1948443631,49296375.84
18,3,100,2.54448396,0,6.405694,1.661794241,864.45,9869.99,2170673520,45952706.3
18,4,100,2.61091342,0,6.761566,1.69969109,865.01,10640.69,2364125800,43533225.59
18,5,100,2.63819691,0,6.998814,1.63051523,865.24,11395.7,2547999146,40558030.27
18,6,100,2.87544487,0.118624,6.761566,1.780686475,867.24,11917.57,2677442872,38859107.58
18,7,100,2.79952552,0,6.405694,1.545564041,866.6,12466.51,2809130747,37977782.1
18,8,100,3.13997627,0,7.117438,1.647282753,869.47,13041.08,2940695851,35684019.23
18,9,100,3.27995256,0.237248,7.829181,1.601955923,870.65,13662.23,3084096538,34799188.84
18,10,100,3.35112689,0,8.066429,1.864693521,871.25,14261.46,3219657010,32784055.52
18,11,100,3.78884938,0.237248,8.540925,1.96819029,874.94,14614.97,3300342306,31720646.34
18,12,100,3.72123366,0.355872,7.947805,1.8733085,874.37,15213.87,3423860424,30560420.19
18,13,100,4.05100832,0.355872,8.540925,1.974935065,877.15,15827.2,3547180564,30297810.87
18,14,100,4.25385527,0.237248,8.066429,1.857181205,878.86,16216.77,3623166969,29012721.62
18,15,100,4.3807829,0.59312,8.540925,2.005777006,879.93,16683.22,3709668266,27920303.31
19,1,100,2.79478058,0,8.066429,1.858122277,866.56,7958.21,1663815160,53426416.97
19,2,100,2.44839861,0,6.524318,1.75588072,863.64,9024.8,1942105628,49011952.44
19,3,100,2.50177935,0,6.998814,1.698737505,864.09,9963.46,2182589637,45490420.03
19,4,100,2.40213526,0,6.88019,1.672876561,863.25,10550.92,2334931012,44243169.96
19,5,100,2.49940684,0,6.168446,1.595365835,864.07,11304.26,2522991061,41340173.13
19,6,100,2.55516019,0,6.405694,1.658030385,864.54,11941.31,2677681040,39824536.12
19,7,100,2.83036775,0.237248,7.117438,1.684615494,866.86,12640.82,2843444229,38007128.43
19,8,100,2.65599052,0.237248,6.524318,1.585144337,865.39,12879.71,2901883736,36567125.21
19,9,100,2.79833922,0.237248,6.642942,1.624399412,866.59,13606.56,3065974030,35042269.17
19,10,100,3.2135231,0.118624,7.710558,1.695974062,870.09,14254.92,3212983376,33288762.06
19,11,100,3.25385525,0.237248,7.47331,1.679649959,870.43,14489.06,3264467009,32332098.81
19,12,100,3.67734283,0.237248,8.303677,1.942836021,874,15329.53,3440616582,30955894.78
19,13,100,3.77105582,0.237248,9.845789,1.936555744,874.79,15608.56,3497146341,30532936.04
19,14,100,3.98220643,0.59312,9.252669,1.960551874,876.57,16096.52,3588665101,29029816.67
19,15,100,4.06049821,0.355872,8.303677,2.025142809,877.23,16497.25,3667686270,28695529.86
20,1,100,2.70462637,0,6.88019,1.82124355,865.8,7872.33,1637089667,52292145.37
20,2,100,2.32384345,0,7.947805,1.832222099,862.59,8942.58,1918442537,49280188.8
20,3,100,2.45670224,0,6.642942,1.58275734,863.71,9992.24,2180930844,45790200.31
20,4,100,2.21115071,0,6.405694,1.572958587,861.64,10637.83,2345978369,43162662.33
